TradingDay,OrderLocalID,OrderSysID,FrontID,SessionID,OrderRef,InvestorID,BusinessUnitID,MarketID,ShareholderID,AccountID,CurrencyID,ExchangeID,SecurityID,OrderPriceType,TimeCondition,VolumeCondition,MinVolume,Direction,Price,VolumeTotalOriginal,VolumeTraded,VolumeCanceled,OrderSysStatus,OrderStatus,OrderSubmitStatus,ExchErrorMsg,ErrorID,BranchID,PbuID,OperatorID,InsertDate,InsertTime,CancelTime,ActiveTraderID,ActiveUserID,UserProductInfo,OuterIPAddress,MacAddress,RequestID,CombOffsetFlag,CombHedgeFlag,TradingCodeClass,TransfereePbuID,IsSystemCreated,UserForceClose,LotType,ForceCloseReason,TerminalInfo,HDSerial,BInfo,SInfo,IInfo,InsertMillisec,Operway,DepartmentID,ProperCtrlBusinessType,ProperCtrlPassFlag,CondCheck,RecordNumber,IsCacheOrder,Turnover,ExchVolume,MeasureIndex,RtnFloatInfo,RtnIntInfo,Mobile,InnerIPAddress,OrderType,TraderOfferID,GTDate
20200511,B400000001,12002B400000001,1004,-1701380062,2,320000074162,320000074162,2,0242309710,32000007416201,CNY,2,300077,2,3,1,0,1,7.8000000000@3333333333331f40,10700,10700,0,3,0,3,,0,B4,395917,320000074162,20200511,09:34:01,,,,hxJYS,192.168.1.2,E4-54-E8-CA-22-0A,0,,,a,,0,0,,,,ZFL1GG70,,,0,752,3,3200,,,,0,0,83647.0000000000@00000000f06bf440,10700,850,1779450.3382164000@99599556fa263b41,0,,192.168.1.2,0,1,
20200511,B400000002,12002B400000002,1004,-1701380062,3,320000074162,320000074162,2,0242309710,32000007416201,CNY,2,300634,2,3,1,0,1,22.8800000000@e17a14ae47e13640,1800,1800,0,3,0,3,,0,B4,395917,320000074162,20200511,09:34:23,,,,hxJYS,192.168.1.2,E4-54-E8-CA-22-0A,0,,,a,,0,0,,,,ZFL1GG70,,,0,359,3,3200,,,,0,0,41184.0000000000@00000000001ce440,1800,890,1820577.1459955999@b7f75f25a1c73b41,0,,192.168.1.2,0,1,
20200511,B400000003,12002B400000003,1004,-1701380053,000000001,320000074162,320000074162,2,0242309710,32000007416201,CNY,2,002878,2,3,1,0,1,34.8000000000@6666666666664140,2400,2400,0,3,0,3,,0,B4,395917,320000074162,20200511,09:35:37,,,,EasyTrader,101.93.182.7,E4-54-E8-CA-22-0A,90,,,a,,0,0,,,EasyTrader,,,,0,894,,3200,,,,0,0,83520.0000000000@000000000064f440,2400,1018,1903981.1617715999@13dd69296d0d3d41,0,,192.168.1.2,0,1,
20200511,B400000004,12002B400000004,1004,-1701380053,000000002,320000074162,320000074162,2,0242309710,32000007416201,CNY,2,002183,2,3,1,0,1,4.8600000000@713d0ad7a3701340,8300,8300,0,3,0,3,,0,B4,395917,320000074162,20200511,09:35:53,,,,EasyTrader,101.93.182.7,E4-54-E8-CA-22-0A,131,,,a,,0,0,,,EasyTrader,,,,0,383,,3200,,,,0,0,40402.0000000000@0000000040bae340,8300,1105,1944327.0555141999@b92d360e07ab3d41,0,,192.168.1.2,0,1,
20200511,B400000005,12002B400000005,1004,-1701380053,000000003,320000074162,320000074162,2,0242309710,32000007416201,CNY,2,002702,2,3,1,0,1,6.5700000000@48e17a14ae471a40,3200,3200,0,3,0,3,,0,B4,395917,320000074162,20200511,09:37:18,,,,EasyTrader,101.93.182.7,E4-54-E8-CA-22-0A,162,,,a,,0,0,,,EasyTrader,,,,0,892,,3200,,,,0,0,21024.0000000000@000000000088d440,3200,1367,1965321.8594854001@353c07dc09fd3d41,3300,,192.168.1.2,0,1,
20200511,B400000006,12002B400000006,1004,-1701380053,000000004,320000074162,320000074162,2,0242309710,32000007416201,CNY,2,002702,2,3,1,0,1,6.5600000000@3d0ad7a3703d1a40,3300,3300,0,3,0,3,,0,B4,395917,320000074162,20200511,09:38:35,,,,EasyTrader,101.93.182.7,E4-54-E8-CA-22-0A,182,,,a,,0,0,,,EasyTrader,,,,0,722,,3200,,,,0,0,21655.0000000000@00000000c025d540,3300,1575,1721791.5614745000@f7cabc8fbf453a41,0,,192.168.1.2,0,1,
20200511,B400000007,12002B400000007,1,1031077898,000000000003,320000074162,320000074162,2,0242309710,32000007416201,CNY,2,002813,2,3,1,0,0,21.5600000000@8fc2f5285c8f3540,6100,6100,0,3,0,3,,0,B4,395917,320000074162,20200511,09:45:05,,,,EasyStrate,10.224.78.6,00-0F-53-6D-95-F0,49,,,a,,0,0,,,EasyStrategy,,Buy_3buy_3can,,0,112,,3200, , ,,0,0,131516.0000000000@00000000e00d0041,6100,2091,1612184.8739477000@5609bbdf98993841,0,,10.224.78.6,0,1,
20200511,B400000008,12002B400000008,1,1031077898,000000000004,320000074162,320000074162,2,0242309710,32000007416201,CNY,2,002755,2,3,1,0,0,20.4200000000@ec51b81e856b3440,6500,0,6500,4,5,3,,0,B4,395917,320000074162,20200511,09:46:38,09:49:19,395917,320000074162,EasyStrate,10.224.78.6,00-0F-53-6D-95-F0,50,,,a,,0,0,,,EasyStrategy,,Buy_3buy_3can,,0,724,,3200, , ,,0,0,0.0000000000@0000000000000000,6500,2203,1744966.5660987000@2bd8eb9046a03a41,999999999,,10.224.78.6,0,1,
20200511,B400000010,12002B400000010,1,1031077898,000000000005,320000074162,320000074162,2,0242309710,32000007416201,CNY,2,300706,2,3,1,0,0,32.4400000000@b81e85eb51384040,2000,2000,0,3,0,3,,0,B4,395917,320000074162,20200511,10:10:00,,,,EasyStrate,10.224.78.6,00-0F-53-6D-95-F0,52,,,a,,0,0,,,EasyStrategy,,Buy_3buy_3can,,0,875,,3200, , ,,0,0,64880.0000000000@0000000000aeef40,2000,2925,1680061.2472427001@2f4c4b3fbda23941,0,,10.224.78.6,0,1,
20200511,B400000011,12002B400000011,1,1031077898,000000000007,320000074162,320000074162,2,0242309710,32000007416201,CNY,2,300589,2,3,1,0,0,11.4700000000@713d0ad7a3f02640,5800,5800,0,3,0,3,,0,B4,395917,320000074162,20200511,10:31:36,,,,EasyStrate,10.224.78.6,00-0F-53-6D-95-F0,55,,,a,,0,0,,,EasyStrategy,,Buy_3buy_3can,,0,551,,3200, , ,,0,0,66526.0000000000@00000000e03df040,5800,3181,1613509.2885865001@0ccee049c59e3841,0,,10.224.78.6,0,1,
